id,nombre,estado,tipo,intereses_actuales,se_queda_con_comida,motivo
103,Ensenada,Baja California,ciudad_principal,comida|playas,SI,"UNESCO Ciudad Creativa de la Gastronomía (2015). Guía Michelin México 2026: Olivea Farm to Table (1 estrella) y 5 Bib Gourmand (Casa Marcelo, Fauna, Humo y Sal, La Concheria, Sabina). Latin America's 50 Best 2025: Fauna (#18)"
3,Tijuana,Baja California,ciudad_principal,comida|cultura,SI,Guía Michelin México 2026: Bib Gourmand Carmelita Molino y Cocina
138,Valle de Guadalupe,Baja California,sitio_turistico,comida|naturaleza,SI,"Guía Michelin México 2026: Animalón, Conchas de Piedra, Damiana y Lunario (1 estrella) y Bib Gourmand (La Cocina de Doña Esthela, Villa Torél). Latin America's 50 Best 2025: Villa Torél (#17) y Lunario (#90)"
414,Cabo San Lucas,Baja California Sur,ciudad_principal,comida|playas,SI,Guía Michelin México 2026: Bib Gourmand Metate
417,El Pescadero,Baja California Sur,sitio_turistico,comida,SI,Guía Michelin México 2026: Bib Gourmand Cocina de Campo by Agricole
5,Los Cabos,Baja California Sur,ciudad_principal,playas|descanso|comida,SI,Guía Michelin México 2026: Cocina de Autor Los Cabos (1 estrella)
141,San José del Cabo,Baja California Sur,ciudad_principal,cultura|playas|comida,SI,Guía Michelin México 2026: Bib Gourmand Flora's Field Kitchen
9,Ciudad de México,Ciudad de México,ciudad_principal,comida|cultura,SI,"Guía Michelin México 2026: Pujol y Quintonil (2 estrellas), 9 restaurantes con 1 estrella y 27 Bib Gourmand. Latin America's 50 Best 2025: Quintonil (#7), Máximo (#30), Rosetta (#39), Pujol, Sud 777, Em, Nicos"
18,Guadalajara,Jalisco,ciudad_principal,comida|cultura,SI,"Guía Michelin México 2026: Alcalde y Xokol (1 estrella) y 2 Bib Gourmand (PalReal, Tacos y gorditas Elvira). Latin America's 50 Best 2025: Alcalde (#15)"
19,Puerto Vallarta,Jalisco,ciudad_principal,playas|descanso|comida,SI,Guía Michelin México 2026: Bib Gourmand ICÚ
24,Monterrey,Nuevo León,ciudad_principal,cultura|comida,SI,Guía Michelin México 2026: KOLI Cocina de Origen (1 estrella) y Bib Gourmand Tacos Doña Mary La Gritona. Latin America's 50 Best 2025: Cara de Vaca (#54)
201,San Pedro Garza García,Nuevo León,ciudad_principal,comida|cultura,SI,Guía Michelin México 2026: Pangea (1 estrella) y Bib Gourmand El Bambi's Café
25,Oaxaca de Juárez,Oaxaca,ciudad_principal,comida|cultura,SI,"Guía Michelin México 2026: Los Danzantes Oaxaca y Levadura de Olla (1 estrella) y 5 Bib Gourmand (La Olla, Labo Fermento, Las Quince Letras, Tierra del Sol, Xaok)"
316,Atlixco,Puebla,pueblo_magico,cultura|naturaleza|comida,SI,Guía Michelin México 2026: Bib Gourmand Vica
26,Puebla de Zaragoza,Puebla,ciudad_principal,comida|cultura,SI,"Guía Michelin México 2026: 7 Bib Gourmand (Cultivo, El Güero Marinero, Jacinto y Yo, Los Camellos, Moyuelo, Casareyna, Semitas Beto)"
116,Playa del Carmen,Quintana Roo,ciudad_principal,playas|descanso|comida,SI,Guía Michelin México 2026: HA' (1 estrella) y Bib Gourmand Axiote Cocina de México
415,Puerto Morelos,Quintana Roo,sitio_turistico,comida|playas,SI,Guía Michelin México 2026: Bib Gourmand Punta Corcho. Latin America's 50 Best 2025: Le Chique (#58)
92,Tulum,Quintana Roo,pueblo_magico,playas|naturaleza|cultura|comida,SI,Guía Michelin México 2026: Bib Gourmand Cetli y Mestixa. Latin America's 50 Best 2025: Arca (#22)
411,Chocholá,Yucatán,sitio_turistico,comida,SI,"Guía Michelin México 2026: Ixi'im (1 estrella, Estrella Verde)"
39,Mérida,Yucatán,ciudad_principal,cultura|comida,SI,"UNESCO Ciudad Creativa de la Gastronomía (2019). Guía Michelin México 2026: Huniik y La Barra de Huniik (1 estrella) y 2 Bib Gourmand (Pancho Maíz, Taquerías Kisín). Latin America's 50 Best 2025: Huniik (#32)"
416,Tixkokob,Yucatán,sitio_turistico,comida,SI,Guía Michelin México 2026: Bib Gourmand Pueblo Pibil
1,Aguascalientes,Aguascalientes,ciudad_principal,cultura|comida,NO,
66,Calvillo,Aguascalientes,pueblo_magico,naturaleza|comida,NO,
261,Rincón de Romos,Aguascalientes,ciudad_principal,comida|cultura,NO,
2,Mexicali,Baja California,ciudad_principal,comida|cultura,NO,
67,Tecate,Baja California,pueblo_magico,comida|naturaleza,NO,
105,Tapachula,Chiapas,ciudad_principal,comida|cultura,NO,
106,Ciudad Juárez,Chihuahua,ciudad_principal,cultura|comida,NO,
152,Cuauhtémoc,Chihuahua,ciudad_principal,comida|cultura,NO,
272,Delicias,Chihuahua,ciudad_principal,comida|cultura,NO,
126,Centro Histórico de la Ciudad de México,Ciudad de México,sitio_turistico,cultura|comida,NO,
127,Coyoacán,Ciudad de México,sitio_turistico,cultura|comida,NO,
159,Polanco,Ciudad de México,sitio_turistico,comida|cultura,NO,
158,San Ángel,Ciudad de México,sitio_turistico,cultura|comida,NO,
162,Arteaga,Coahuila,pueblo_magico,naturaleza|comida,NO,
60,Parras,Coahuila,pueblo_magico,comida|cultura,NO,
